,Comments
104,group waiting for some big billion day sales to get this phone at around k or below it since i bought pixel a at k in last year big billion day sale truly worth it waiting for another big billion sale and i ll upgrade br so yeah group it is
105,overpriced i can easily get a pixel in that price range wirh some card offers and exchange even less than k br and the scenario will change after the launch of nothing phone br br pixel a is ok in the price range of to k
106,prajjwal tiwari front camera of s fe is not good at all
107,guru praveen s fe probably won t get android so it has only one year of security patch left br however i agree it s still a good deal
108,ordered pixel a
109,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
110,overpriced for sure
111,overpriced
112,guru praveen but you ll miss google great camera experience
113,now any change in pixel a price
114,overpriced
115,group buying pixel instead of a
116,p is available at k in amazon just get that
117,group not to buy until they increase charging speed
118,group buy in bbdays after months
119,better to buy samsung s fe g still u get yrs update n yrs patch
120,krooksgaminginhd pixel a priced got reduced to k in bbd br so after months i m sure pixel a prices will also reduced to k minimum
121,nearlight gaming it won t new device
122,grp
123,maybe price will drop in bbd
124,well group is people who wait a few months after the launch and get a great deal in terms of pricing
125,true
126,same here
127,me
128,retro tech pixel under k
129,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else
130,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional
131,i got my a in k after waiting for months from the release of a got it in the sale and it has been value for money
132,prateek panwar thank you
133,retro tech for stability grab pixel
134,i was about to comment the same lol
135,exactly waiting for diwali
136,retro tech iphone
137,exactlyyyy
138,exactly we are the same team bro
139,so basically you re from group one
140,was about to say that
141,group it iss
142,strongly quot agreeed quot
143,group
144,retro tech i would say iphone but if you are a heavy user battery wont last for long
145,eva girl would suggest pixel but if you want good video recording as well then iphone when on discount
146,exactly beebom you are wrong bro there are groups
147,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
148,i think i will wait for the price of the or pro to drop and maybe buy that
149,absolutely
150,retro tech pixel
151,and you lose that much value as it will be outdated soon you already lost of its life
152,retro tech i would suggest you to go with the pixel line up as i have been a google person from and will be one because of the software experience and the camera system my first one was nexus ran for years but since i dropped many a times the network ic was somehow damaged so couldn t use the phone then i bought pixel which is still rocking and it s more than years now this year it will be but i ll soon buy the pixel in the bbd sale so yeah for years to come these work superb for what you are looking for
153,exactly
154,k
155,underrated group
156,me too
157,what s best smartphone under k k for camera for year stable use
158,shreya how much price drop
159,i m pretty much waiting for big billion days or even can wait till year end sale
160,now iam ready for a
161,right
162,exactly
163,i would just wait for the prices to go down a bit of the pixel a and if that really happens that would be the ideal scenario to buy it
164,retro tech p ofc
165,vikram it s shit hardware software both shit in xiaomi don t get fooled by the processor
166,get a online new it s cheaper
167,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else
168,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional
169,aayush p dont waste your money but if you are rich and a enthusiast just buy a flagship phone then like the new samsung or apple or the next pixel pro a is pretty good cause the reason i buy pixel is just for reasons camera and user interface thats about it spending k on a mobile to play mobile games is stupid at that point get a console or start saving for pc
170,eva girl without doubt u can go with pixel a the best in segment since it s launch pixel series including a series
171,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
172,group a good package after price gets reduced within a month or two
173,bo quc hahahah man what are you smoking exynos is two gens behind maybe your definition of better is inverted
174,vikram wow you sounded bitter when the quot exynos quot chip can do more than snapdragon xiaomisand google doesn t need sales to even prove that it s good
175,vikram hi copy fan boy google is not looking on the no of sales instead they want to offer the features that you won t get in any other android phone and that what makes pixel a special
176,what s best smartphone under k k for camera for year stable use
177,james manjada if google is that much better it should sell even the of the chinese copy cats
178,aayush p you should stick with a for now tbh overall it s a good phone only dea lbreaker for me was hz display a is a good device but for k pixel a is great deal
179,sahil negi then anything under would be great but they must have included a charger with fast charging atleast w
180,vikram i don t think it ll get this much drop in price like pixel is already around k so i don t think there will be a drop of k anywhere soon
181,k tak aajaye to badi baat hai bhai br bcoz pixel a me bhot cost cutting thi but isme almost sab diya hai unhone
182,same here
183,i agree i m using a right now and i would love to trade it when the price drops
184,krooksgaminginhd search globally you will see a lot of issues in google phones as well and talking about xiomi every manufacturer had these issues what about galaxy note xiomi never bombed anyone so shut the hell up even google has its own share of issues when using my pixel a heating issues while multitasking is not tolerable pixel is no god
185,aayush p a is still pretty good beside the display which is hz br if u don t have a problem with that then that phone will run great for years
186,notus
188,aayush p use that for now br wait for the price cut on a in sales br don t waste money right now as your phone is just brand new tbh if it s only month old
189,vikram you compare google s pixels with chinese copy cat lol
190,aayush p you can go for an exchange and see how much you re getting
191,i d buy it but i ve already bought the a a month ago what should i do
192,nikhil kumar atleast it s there
193,wireless charging but watts
194,exactly i am still in the group as mentioned by him amp will tend to be more on that group only if this scenario comes into picture which i guess eventually will as i am also planning it to buy this on the beginning of the last quarter of the year as that time indian festivities are on peak amp so are offers in that time slot
195,krooksgaminginhd still better than shitxynos
196,vikram aren t you the guys who later then complain about xiaomi as well motherboard updates and s it
197,vikram yeah motherboard
198,it will
199,krooksgaminginhd yes xiaomi is better way more people buy mi than google because mi is vfm and uses blue blooded snapdragons instead of crapxynos that heat throttle and conk out early
200,vikram it s google not xiaomi
201,ryan izanami around k great price and where is the gb version
202,indeed it is still a better option but with a reasonable indian pricing it ll be a steal
203,i think if someone has to buy a new phone right now they should definitely consider the a but if you can use your current phone till october then this would be a real value for money device around k during the diwali sale in either case its a good buy kudos to google
204,retro tech for k just try n buy a pixel or a oneplus gb right now cant get anything better vivo pls avoid as the ui is damn shitty vivo has the best camera but ui is unbearable
205,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else
206,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional
207,retro tech if you can wait get the pixel quot is very large and not on handed for most people
208,suyash bajpai kuch bhi amazon doesnt sell pixels officially so if something happens you are shit out of luck
209,retro tech if u need right now buy oneplus gb or pixel gb or wait till diwali and buy s s plus or iphone when price drops
210,eva girl wait for s br agr abhi chahiye to go for iphone or pixel
211,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
212,suyash bajpai br need gb storage br need inches screen or larger br need best camera
213,retro tech wait for s or go for iphone
214,what s best smartphone under k k for camera for year stable use
215,pixel was available for k in prime day
216,jyada umeed mat karo price drop se kyuki is bar package sahi hai
217,totally agree
218,i am aslo waiting for price drop
219,i m in group i was expecting around k as it s but k seems good i said group because i may move to group or depending on it s price during bbd sale till then i m sticking with my a
220,pranay sarkar lol i was so right to say you are an hypocrite and a person who jumps to conclusions without knowing the actual facts br its my real name here and so funny that you judged it may not be a real name br i feel bad for your dear ones who have to tolerate this shot of yours daily
221,christy yeah yeah yeah remain cracked up i was commenting because i don t like to go amiss when someone says something idiotic but you have assumed me hypocrite but i won t get called hypocrite by some random online loser who s even afraid to put on his own name darrpokon se kuch nahi sikhna so i won t comment again
222,pranay sarkar your response though quot just your opinion mean nothing to me quot actually cracked me up and then next comment you come with not to take to heart hypocrisy ki bhi seema hoti hea bhai
223,christy same to you guruji
224,pranay sarkar lol it is okay buddy get well soon
225,christy sure it was just an impulsive response to your opinion stick to your opinion and please for the sake of humanity never take anyone s views to your heart
226,pranay sarkar i did not mean to change your opinion i just said a fact as i have seen the photos taken in a a not that great literally every phone out there has better camera than the a now br but don t take it to your heart
227,christy just your opinion doesn t mean anything to me
228,the camera is not that great in pixel a i think my partner uses it and the final photo that it processed does not look good
229,in the same group if the price gets to thousand i don t think i d be able to resist myself and the a rocks the camera still hits it out of the park most of the times
230,another person using a waiting to buy a after some months hi
231,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional
232,ojas sahasrabudhe no google has discontinued it with phones released after
