,Comments
435,atanu biswas br need gb storage br need inches screen or larger br require good camera
436,retro tech i would go for the pixel tbh around k
437,what s best smartphone under k k for camera for year stable use
438,atanu biswas i also have this problem bc i am using pixel a for months and now they heat up more in heat climate i live in delhi may be that s also causes to heat it up more
439,but heats up sometimes with heavy usage tho does it happen with you too
440,same i got the a for k with exchange and card offers absolute beast of a phone
441,it would be helpful if you compare with as no one is going for a now
442,i am in canada and i bought the regular pixel for canadian dollar k rupees it is a lot better then the a i will probably sell this one and just pick up the pixel when it comes out pixels don t have amazing specs but there super fun to use they also do the fundamentals of a phone really well
443,does a support pd charging technology
444,if the offers and deals come br and the price goes under k br then its a good deal
445,what about service center availability is it same as past or changed now
446,for me charging speed is a deal breaker
447,charging speed has been very good on pixel handsets
448,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
449,pink nails world series are you obsessed with pointless geekbench scores then you are seriously underestimated the g power here and the iphone will absolutely tank its performance bcz of the ultra small thermal envelope lololol
450,retro tech s but you have to wait till some sale to meet the budget
451,retro tech iphone or s or pixel
452,what s best smartphone under k k for camera for year stable use
453,bigdaddy dwitiya bat ka grip nikalne ka bat seedha tere br
454,joshua bansode bat cha rubber
455,pixel a will be a great choice if they have fixed the network and wifi issues that were plaguing series and series
456,pink nails world series but its still an iphone who would choose ios over anroid
457,pink nails world seriesnobody cares about your damn iphone lol
458,no google phone has really fast speeds why you even looking at a google phone
459,vedant bansod broke people don t usually care
460,pink nails world series don t care
461,pink nails world series are a vedya
462,rather buy iphone on sales instead of this it shoots k fps selfie have better front cameras have better third party apps optimisation and the performance even gen falls short of a in iphone
463,now chinese phones are offering speeds over wat this is definitely a deal breaker for me
464,i think its value for money but most of us will be confused for sure between the amp the a
465,retro tech any phone today is best in camera in this budget phone tumne pahle hi decide kar liya hoga bus tum internet pe dusro ke mu ses uska naam sun na chahte ho koi bhi phone khareed lo jo tumari aatma gawara kare
466,retro tech iphone
467,what s best smartphone under k k for camera for year stable use
468,i hope the price will go down like pixel a with offers and sales as pixel was selling for k during the sales so anything around k is reasonable
469,it ll definitely get a price cut in next sale
470,pixel was always about amazing software experience and the best flagship grade cameras so if you want premium experience and camera i feel you should only go for pixel it just feels premium
471,love the phone will wait for the price to come down a bit
472,i m in the group which doesn t want to regret impulsive purchase at that price while that may go down reasonably a lot soon after
473,i am in group who will wait for months and then buy if when the price falls below k or just get the poco f considering i am still using my poco f i seriously need a major upgrade and that poco f is looking great only confused about gcam support since i have been addicted to gcam ever since i was able to install it in this poco f anyways my choices are either a or poco f
474,it will eventually have a price drop just like the a and i expect it to fall around k this would be a good price for the phone
475,is moto edge ultra a better deal with sd gen watts charger included in the box curved display and same years of android update confused between a and ultra
476,wouldn t it just be better to wait for sales so we can get a for k
477,pixel a is overall a good package but seen some of videos on pixel fold as well i say a good attempt on hardware side software on pixel fold is better
478,wireless charging speed is w mentioned by mkbhd
479,i am seeing a good upgrade over my oppo oneplus r this is very good upgrade but still i am looking for nothing phone also
480,i would like to see the battery comparison with nothing phone according to specs it is better but the experience is better in pixel br i would like to see the comparison with nothing which will help a lot br have a great day
481,we need a camera comparison between pixel a and galaxy s fe
482,introduce optical zoom at least x in mid range than ultra wide camera never used anyway
483,my question is why should i go for a when is available at the same price after discount is a better than if not then a launch does not make sense
484,would be waiting for nothing phone to se how it compares to pixel a
485,sahil negi it will be above k i think so
486,yash mishra expected to b around to k
487,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
488,sahil negi lol speculation says it s gonna be a high end device not same place as np
489,akshat vatsya
490,james manjada no not exactly br and most importantly who cares
491,james manjada well that s what i want to see what changes they have done what improvements they bring with np
492,retro tech iphone samsung s vivo x
493,what s best smartphone under k k for camera for year stable use
494,gokul s i think pricing of phone will be near k
495,will be expensive though
496,james manjada lol phone is coming with gen
497,pixel a would be a much better phone overall than the np which will have better gaming performance and faster charging
498,it s coming with gen
499,james manjada chutiya jaisa hai np
500,you will get the same phone with some adjustments on the back panel and i e phone
501,pricing is the issue i would give k max for this keeping in mind a price
502,i m in middle of those group br if non pixel user that s the fact there are some options oneplus r is the greatest in this price segment on the other hand people who love pixel and trying buy a pixel phone in affordable price that s the phone they can pick br good deals from a href http www youtube com results search query google google a
503,id like to know if the pixel a a good buy now for someone who isnt looking for everything high end not very features demanding
504,hi boys like your video reviews always positive and informative br thumb up br by the way im in group however slovly but surely migrating to first one
505,group but i will surely wait for price to drop a bit in sales and then purchase
506,pixel is available in amazon around k so maybe that s better deal
507,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
508,retro tech iphone
509,what s best smartphone under k k for camera for year stable use
510,aslanxyz br need good camera
511,heyworld how is the device any issues and how is the g network
512,akansha go with oneplus it s a complete package and yrs of os update makes it a best deal out of your other option btw my fav is s
513,akanshait depends on your priorities
514,arjun mohandas thank you
515,it s japan variant i am using it currently
516,it s not india varient br i guess it s japan model
517,annun miahra google has service centers in india
518,how to get warranty then
519,annun miahra that s the only problem
520,akanshayou can get an s under
521,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
522,thats not official means no warranty
523,you will lose the warranty if you buy from amazon
524,the wallpaper looks sick is it pixel exclusive
525,k for specs k for google br br br br this much will be enough
526,does it has basic features like applock and other security features like passcode for restart etc
527,i m from the uk in group and just ordered a a fed up of the constant random reboots of my motorola g with the g chip and embedded ai this should be at least better than my current pgone
528,can you compare it with oneplus r because r is very good value for money rn
529,also would like to know a detailed comparison between the pixel and the a
530,check dave d s a review for that
531,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
532,what s best smartphone under k k for camera for year stable use
533,there isn t much ig
534,i would take the pixel software any day over raw performance blotware so i am in group
535,wish it had a bigger display not much like around inches
536,need to know if a series have pixel features that are like call screening
537,apart from w charging it s a good package
538,solidly in group would rather go for the oneplus r which costs k less
539,quot google is the worst company on earth at keeping things a secret quot is one of the most accurate sentences said in history br mkbhd
540,eva girl pixels or galaxy s
541,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
542,what s best smartphone under k k for camera for year stable use
543,ar xx
544,google is like the tom holland
545,akansha iphone pixel samsung br don t go for chinese shits
546,ho gya copy pasting pagal ka bachha sala
547,i don t know probably they were leaking these stuffs to keep the hype game on br as due to these leaks google devices continues to be in limelight br it also help in retaining probable customers as by giving out leaks people would tend to stick a tad bit longer to see whether how it would turn out
548,mkbhd
549,idris ahmed haha just kidding mate
550,siddharth singh dude i commented here without even going to that video just because u saw there doesn t mean it s copied i m not even subscribed to mkbhd
551,akash hegde dude no i swear i saw beebom video first i m not even subscribed to mkbhd i don t get his notifications but beeboms i do and first thing that came to ming seeing this comment was tom holland and everybody or atleast marvel fans know tom s record so it s not some exclusive or special comment that i ll have to copy from a diff comment section
552,siddharth singh thank you
554,nothing original bro
555,idris ahmed comment stolen from mkbhd s comments section
556,akansha depends since i am currently using an apple device i would have picked but if i was using an android i would pick or even switch from apple for it wont go for moto vivo at this price personal preference and would have been a great option a few years ago but i think it has lost its charm so for someone like me i see only options here
557,prajjwal tiwari it is supposed to be bcuz indian creators think they are grateful to receive a review unit at the same time as foreign creators and are thus obliged to speak good wait for someone to buy it with his own money for a honest take
558,idris ahmed another comment i saw there
559,mkbhd
560,mkbhd ke chode
561,ray marques brownlee said it in his review give it a watch it s not as biased as beebom s
562,google is the tom holland of the tech world
563,beebom said this really i didn t notice
564,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
565,marques died of cringe
566,ya bro you are not the only one subscribed to mkbhd
567,blatant copy
568,i see someone came here watching mkbhd
569,we are pixel enthusiast who want best camera user experience and decent performance br ps would wait for bbd sale and would grab it at k
570,for me water resistant is important because i have the habit of cleaning phone by directly putting it in water like now i have iphone it s damaged a lot because i don t use case and other things are good in it but it s feeling like old so i m looking forward to upgrade my device and i m waiting for nothing phone i don t know why but i like it s touch and feel my elder brother have nothing phone that s why br besides that i just want that it need to be water resistant and it can shoot k fps in both the lenses not the front one because i m not photogenic person br well let s see maybe if it s not going to be good than might be i ll go for google pixel
571,what about the camera lens shattering issue
572,gb storage and slow charging are a deal breaker for me
573,is it worth to buy pixel a series buds which comes in offer after buying this
574,first video out after google io br as expected from beebom
575,if they gave gb storage instead of gb i would definitely go with category
576,so now its between the a and the r i guess whats better here i am definitely leaning towards the a for the camera but the higher performance score on the r are tempting
577,ash that doesnt matter to me too much honestly but its possible that i may just wait a couple of months before making the purchase br br honestly i was using my mum s vivo v and even that has a much better camera my yr old lgg and thats not even some flagship i would have gone with the pixel a even now if it had g ram
578,eva girl samsung is king in zooming which is needed for bird shots and wildlife photography try to go with the phone that has periscope lens
579,akshay de wait for months or for sale the pixel a price will further drop around to k
580,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
581,ash yeah its most likely gonna be the pixel im not a fan of oneplus for some reason
582,but the pixel experience os is really nice though
583,krooksgaminginhd you can list down the specs side by side and you will have your answer pixel a has limited storage no dolby vision k or even super amoled slow charging these used to be issues not sure they have better camera and software experience but that s not all people look for in a phone
584,savageshaunak poco f beats them at nothing
585,check poco f too i d say specs beat both of these easily and camera with gcam mod is almost on par with either of these only concern would be the software experience
586,i am in group who waits for price of a a to drop and while waiting the new a series is on the horizon and we thinks to ourselves to wait even more and end up never updating to pixel series br i have bypassed a a a and will bypass a also to stick with my lg g x
587,it is w wireless charging at
588,i have been an avid user of the pixel since nexus times i think going for the samsung ultra or the iphone is better if you ve got the money else i woud happily settle down for the pixel br from the owner of pixel pro br br it s just that google has a good software ecosystem but lacks the hardware and supporting ecosytem devices it s like they limit you on pupose
589,request google to increase charging speed standards
590,if the pricing does go down like it usually does after a few months this will go from being a quot good package quot to being a no brainer the a s improvements are just astronomical compared to the a b this b is an upgrade
591,its but it comes with free pixel buds and a case from the google store so thats not bad value really
592,i m ready to exchange my pixel a when a comes out it s been only months since i bought the a
593,instead i would just wait for an year and buy the pixel instead keeping the a as well the a is still the best for its price but i guess the a is not worth the upgrade for its features and price
594,like a a price should drastically drop in abt a month
595,group for now headphone jack mah could have made it to group br under k its a decent deal
596,in the group that ll prefer the pixel instead for k more the pricing really doesn t make sense when pixel which is clearly a better phone overall costs only k more
597,i bought p at k with discounts and this product is in the same territory br pricing google pricing
598,im currently using iphone mini would it be wise to switch to a
599,i m in group three who will wait for a couple of weeks for the price to be reduced significantly
600,i am in group who believes after some months the price will drop
601,one eye on the streets one eye on the tech game lord beebom
602,specs are very good except storage should be gb fast charging should be w or w minimum for a mrp device
603,i will say just wait for a while br go through reviews for one month then go for it br offer days are coming big deals big days
604,still in fence currently using pixel a i will wait till bbd sale to get this beauty
605,solid group here when you place this against a the updates are amazing for one year
606,really awesome upgrade from google because i m a user im supported group
607,i m in grp br waiting for the big billion days sale
608,is it worth for k after exchanging with my op or should i consider other options like s fe oe poco f
609,sai saurav wo aap dekhlo apne hisab se but pixel a abhi launch hua hai and its camera and ai is top notch day to day performance smooth as fuck baaki nit picking karoge toh you can t experience this phone just go with it mere hisab se and lastly s fe k liye bhi ja sakte ho coz samsung k flagship poco f k liye bilkul mat jao
610,bishwajit bagbut what about the price drop in sale
611,i think you should go for this long term mai bohut badhiya hai
612,google pixels are more about good photos videos and software and it does fill that hardware gap with that some samsung phones might provide a better value at that price point but nothing can match the pixel
613,pixel is at k how close or far is a from for that k difference
614,i am in the group of people who are going to buy a because it s price would definitely drop after the launch of a
615,i m hoping it does a on the big billion day
616,we want a comparison video between samsung s fe vs one plus r vs pixel a
617,i just placed an order for exchanging my galaxy a s with months no cost emi i think it s the best overall package at k
618,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
619,gowtham pradeep literally
620,fool of the year
621,retro tech iphone
622,what s best smartphone under k k for camera for year stable use
623,tejas padhye a s is better with sd g and hz amoled
624,aslanxyz pixel a
625,a s wasnt slow enough to give in exchange man
626,which phone
627,as for the price s concern it s obvious i m in group always
628,if it comes under k the battle begins nice one
629,food for thought isnt it better to get a pixel
630,i would go for a watts charging than the wireless charging
631,will a record call automatically like samsung phones
632,beebom also fixed their videos and are finally making better content
633,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
634,what s best smartphone under k k for camera for year stable use
635,r anubis kind of haha
636,suraj you thought i was a bot huh
637,r anubis ohhh i see
638,suraj i m not sure how exactly but it feels like they are going back to their og style of making video instead of experimenting with new styles and not gaining any good traction
639,how so
640,group but if comes down to k after discounts than it will be more better
641,eva girl which phone u r currently using
642,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
643,abhishek mukherjee best time to buy is navratri sale
644,yes it definitely might after few months coz i am also waiting for that amp after few months festivities begin in our country amp so does the offers
645,i am still in group sir overpriced the deal breakers for me would be the lack of a gb storage where can i store my k footage version and fast charging w charging in is atrocious to say the least this is where our chinese friends are differentiating themselves from their rich cousins from the west but i am still hopeful as google might bring my dream pixel at an affordable price bracket in years timeframe fingers crossed
646,i purchased pixel on hype because of yes google google but even it had bugs i had chance to buy s fe with way lower price but i still thought because its google it would be better i was wrong so before you go ahead and blindly buy a i would recommend you to think and check if there are better option per your need
647,i just bought it it prices to after all discounts charges in mins with google w charger wireless charging is definitely on slower side camera sensors are good but it won t feel like pixel a good bargain for k i would say definitely a premium upgrade over pixel a but if you have budget for k go for pixel instead of a
648,lalith kumar camera does heat up while doing videos in k but performance is not degraded it just doesn t want to open camera after its completely heated refresh rate is set default at you have to enable hz display from settings display is good for videos brightness is good i haven t used much but using t for hours straight got me this
649,how s the display refresh rate amp any sort of heating when u use camera more amp in outer conditions
650,everytime pixel comes with a deal breaker this time the bezels around the display is annoying br br last year im totally confused of pixel and i bought for s plus and happy br br as a pixel fan my dream pixel is still a dream
651,watt charging and thick bezels are deal breaker for me
652,eva girl iphone
653,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
654,even bigger than a
655,what s best smartphone under k k for camera for year stable use
656,yes
657,prash does it has bigger bazels then regular pixel
658,same here
659,im in the group waiting for a price drop during bbd or amazon great indian festival sales
660,will buy it when it comes under k in bb sales
661,so which is better s fe or pixel a
662,the main problem with google is no fast charging especially oneplus users cannot switch to pixel as it is having only w
663,how about pixel a in at k price
664,going to sell like hot cakes
665,k would be a good price to buy this a sweet spot
666,obviously group one let us compare it with the recently launched poco f it has better processor better screen better battery better multi media experience charger in the box headphone jack pixel has better software experience subjective better cameras and that s it the price gap is around k that s way too much for an avg user i guess google needs to focus on the mid range market and their needs
667,i am in group but waiting for bbd sale to get better exchange discounts
668,waiting for big billion days
669,it s a good phone with the price tag it should have
670,what is the best mobile for performance camera under k or any other upcoming mobiles
671,eva girl vivo x or the pixel
672,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
673,akansha it s the iphone and pixel br all others have mediocre software support and cameras
674,akansha it s all between the pixel and the oneplus
675,alpeshmore yeah it s good bro but i think that offer s gone now
676,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
677,priyanshu bro is a good idea to buy realme gt neo now at k br br my usage is normal heavy task no gaming br and for long term like yrs br plz give your opinion
678,maybe r with offers br or vivo v pro if you can compromise the software
679,these bezels are deal breaker in this year what k phone has those huge things id pass it even for k
680,it would ve made sense for this to cost around rs for k its way overpriced
681,group i will buy this in bbd sale at lesser price
683,definitely i am in group two now was in group one last year because of the hz display
684,i m still in group because at same price you have other options too with gen
685,the software experience totally makes up for less powerful hardware i d buy a pixel anyday over those gen phones just for the google exp and the cameras
686,keep using xiaomis then
687,if the bezels were thinner you cannot tell me this isnt among the best phones for normal human beings
688,after a price cut i ll be with the group quot omfg it s the absolute best quot
689,haha me too just hoping it will get lower in bbd
690,which platform will it be available on
691,waiting for about months will reduce the price drastically on sales and that is a good time to snatch this pixel
692,only one downside or rather say cons is their storage options why font google gives us gb option why beebom
693,a href http www youtube com results search query pixel overpixel a pixel overpixel a a
694,once i used a pixel for daily use as my primary device i ll never switch back to any other device even i ll say no to iphone over pixel except raw performance there is no match
695,currently the pixel is available at k on amazon so its a better deal than a
696,it s probably from overseas not made for indian sims and you can t claim warranty
697,google has done a good job since pixel and even better since with their pricing in india
698,why not go with the pixel i think it goes for around k
699,w charging and big bezels ruins everything
700,yes
701,i am using one plus r and it s a killer at k no compromise as such and op ui is also good if a was launched at k then it would have been a killer deal
702,yash mehta then better wait
703,it will be available below k during big billion sale for sure
704,now i m in group but i will switch in group during the big billion day diwali sale
705,could you do samsung a vs pixel a camera comparison please
706,let the price change happen sales when you get it for k to k it s a bomb but that will be months away i d stay great phone let s wait for the price drop
707,this phone has one nano sim port and one esim port br does india supports esim
708,pixel is already at k on amazon br what is this nonsense pricing
709,eva girl iphone
710,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
711,dharmendra dubey thank you
712,akansha iphone anyday br if u want android then s after applying discount
713,what s best smartphones under k br motorola edge ultra br pixel br vivo x br oneplus br iphone
714,amazon is not an official google partner for pixel phones are imported from different countries there is no warranty
715,k card discount
716,insanely huge bazels no fast charging price almost as regular
717,better charging in both wired and wireless smaller bezzles better viewing angles glass back reverse wireless charging i d rather choose the normal pixel for k more
718,is there any buy option to exchange pixel a phone via pixel a then how much gonna its effective price
719,for this pricing if anyone wants to buy it now or soon its way better to spend more to get the pixel itself
720,group but for me it is costly
721,only let down is charging speed
722,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
723,price is shit get a at that price
724,bis bezles w charging ruins the phone
725,only things that disappointed me br br limited storage of gigs yet again its and still google doesnt offer gb as an option which is a big bummer br br charging restricted to w when majority of the android community has moved to w or above google is still at pre historic w should have given atleast a w charging speed if not more this will take ages to get charged br br the pricing looks good ngl however just waiting for the nothing phone before deciding which device would be apt for me to upgrade to from my existing op pro
726,the biggest disadvantage of buying pixel phone would be the depreciation in value of the phone in the next months wait for the big billion day sale and it would be worth the price
727,still waiting for the service centre of google so that i can buy this flagship
728,still with group could easily go with oneplus
729,one plus tatti
730,google always leaves some left out feature in pixel phone this time it s bezels still better than before
731,i don t know why tech youtubers are ignoring the network and wifi issues in pixel phones in pixel series it was due to a bad modem but in series they changed the modem and the issue was still there google needs to fix this issue asap because the basic fuctionality of a mobile is to make and receive calls instead of boasting about the camera and ai may be these tech youtubers has to give a review about connectivity performance from the phones
732,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
733,what s best smartphone under k k for camera for year stable use
734,vishak br true that
735,mrv pixel is good at everything except connectivity and the irony is that the basic fuction of a phone is to make calls how are u gonna make a call if u don t have a stable connectivity
736,vishak i hope they have fixed it a i have been planning to buy a pixel device for quite some time but my friends who bought and series were complaining about the network problems they have been facing it s not a carrier issue since they all use different carriers and has no problem with any other phone
737,yes when you say google fixed it you have to tell whether they fixed the network problem why do u need a phone when u have to toggle flight mode on off to get the network reception
738,exactly nobody is addressing the network issues in pixel and
739,my biggest issues on pixel phones is that there is no call recording option unlike any other phones and the camera sounds cannot be turned off even when it is on silent mode
740,camera sound can be turned off for sure may be you are using japanese version
741,i just think that people don t look for the overall experience people look for the high end specs and honestly speaking it s right but the high end specs will be forgotten by everyone after some months of usage what pixel is providing is experience the very clean best experience the older pixel phones still run smoothly despite having mediocre chips you are getting the best camera best software best experience which will not degrade i mean i know i was also a nerd back then looking for cores ghz and all but now all i want is a reliable phone who will give me more than enough performance when needed and very clean experience
742,the problem is that google focuses so much on software that they pretty much forgets about the soc i had the pixel a but it was just a phn for simple day to day use any kind of high workload will heat it up like crazy and throttle it s performance so i exchanged it for the new xiaomi pro honestly speaking after using xiaomi i m impressed
743,don t forget to mention that pixel a is bjt more expensive in but whereas in india at least they kept it the same as last a i think it s a good phone
744,a correction to note in genshin impact g is pronounced like you would pronounce it in a word like quot graphics quot
745,is there any issues with calling network wifi
746,chalo jaldi pixel a ka kardo taki sale mei lelu
747,internet will not divide
748,the thing is if anyone is providing around k to a brand he wants an aspirational value with only apple provides
749,pro or a who is better i m confused
750,i have been using pixel a for the past months and i would not recommend someone to buy the tensor chip a series of google heat management is a big issue the phone heats up quickly suppose you use google maps to go somewhere after mins the phone will automatically switch to dark mode to cool down the device you cannot see the navigation in the day in dark mode another incident was i was on an important zoom call the device closed the app automatically to cool down the device there was no way i could shut that feature i had to wait for the device to cool down the call was barely hr yes the photos are amazingly superb but i have to charge the phone twice a day to keep it live pixel a series phones were good till pixela it was its peak now its downfall i feel
751,eagerly waiting for the big billion day sale now where i ll get this for under k just like last year with pixel a
752,this is probobly the best channel in india and bangladesh combined only if it didnt have music on talking it could be better
753,the user experience on a pixel is world class you can buy any pixel phone just for the fact that you will get pure android
754,there is also a group it includes people who are waiting for price drop in sales then buy it
755,honestly pixel is same price as pixel a if you are selling your old phone if old phone is worth k pixel will give k exchange bonus there are hdfc card offers br pixel a card exchange br pixel card exchange
756,that squarish design is just soo good phew
757,my oneplus t display just got busted after buying and using since its launch i guess it s definitely a upgrade time
758,except the design the rest of the phone is amazing in almost all aspects
759,i m definitely in the group to because of the features i was waiting for be in google was not having such like fast refresh rate and the better cameras and the tensor g i think it s a great deal br and i also attended google io it s making me excited for the google pad too
760,is it safe to buy pixel phones from amazon they are not the official authorised retailers as per the google india website br br i am getting good deals on pixel pro g br br should i buy please suggest
761,i miss that cool intro rupesh pls start using it again
762,i will wait for the price to drop to k and then consider buying it so i m in neither of the groups when the a came i was in group and so i love google phones but they just can t hold the price of the phone what s the point buying it at the starting price when after months the price will drop by k
763,price should have been less than k
764,pixel a really impressed me as an all rounder phone with decent performance beast cameras for k features like ip witeless charging etc display is good with hz but not the best with that thick bezzels and battery is decent but at k its not a buy pixel at k in sales makes more sense wait for bbd and a would be available for k easily br but yes its a good upgrade over a
765,retro tech hello the best smartphone under is vivo x at k it offers excellent cameras and video recording capabilities funtouch os currently has a good track record of providing updates timely br samsung s at amazon is also a steal deal with great cameras and samsung s years update cycle never fails br oneplus is okayish if u want a one plus phone otherwise many options are also available
766,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
767,what s best smartphone under k k for camera for year stable use
768,pixel is for experience
769,claiming watt charging as fast in is criminal and i think its still overpriced a price around k would have been good
770,i think its a good package but i ll bide my time and wait for its price to drop below k
771,price of pixel in india currently is k there s no reason to buy a a at mrp launch price if you can spend k then you can surely spend k br br wait for a sale for minimum k off and then we start talking
772,we re really missing the dope intros
773,i want to join group but it s bezels hurts a little bit so i m confused now
774,i just don t understand beebom s recommendation at times br how can this be a good package at current pricing it s priced so closed to pixel currently retailing at w o discount which has better build better cameras better charging br pixel a is definitely slightly overpriced and people will only start getting this once the prices are slashed just like what happened with a
775,what is the name and model of the white wireless charger
776,the nothing phone is a better deal for daily usage it even provides better service support
777,miss the old intro music of beebom
778,kindly make videos about their service feedbacks service part costs etc
779,imx wasn t a downside tho it still beat the pro in the blind smartphone camera test by mkbhd br we want output as long as delivers it we have no problem
780,will it s price drop like pixel a
781,the only thing keeping me from switching to google would be the storage issue otherwise a good alternative to samsung i don t like the chinese alternatives good hardware wasted on horrible software support
782,the main advantage of pixel series is android updates br pixel will get first and three full updates and security update for five years br br none of the brand gives this
783,older pixels have network issues is it ok with that area
784,i d rather get the edge ultra gb at k then this even though it doesn t have the updates
785,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
786,akansha vivo fun touch os s fe exynos no way i m buying an exynos at k r has plastic sides and no stock android nothing is definitely worth waiting but i m yet to see a nothing phone in person and i stay in delhi and no way nothing is going to include a watt charger in the box
787,there is br v pro br oneplus r br nothing phone coming within a month br and br samsung s fe br br vivo v pro for gb cost just k in offline with bargain br br oneplus r is k br br nothing phone would be k with same processor as motorola but better camera better update and better design
788,akansha still better than a better processor and charging cameras above k have marginal differences gb is future proof is absurd
789,and camera is bad compared to google samsung and vivo or iphone
790,it still is on android and phones would be getting android soon nothing announced br google pixel received android beta
791,need a comparison pixel vs pixel a
792,pixel amp a series get heavily discounted after a couple of months buying it at k or k is absolute waste of money next months the phone will be available around k thats when you could pick it up
793,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
794,is available at the same range
795,i don t know why tech youtubers glorify slow wireless charging i would rather prefer a fast wired charging than a gimmicky wireless setup pixel seems to be a much better option now
796,group it should have been priced somewhere between k
797,why no one has a problem with google giving only one storage option of gb i mean come on it s and gb just isn t sufficient anymore for many people or they should ve at least provided a micro sd card slot in it also gb and a plastic back design at k look overpriced
798,everything google brings is mind blowing
799,i feel that they re really slow about upgrading the battery capacity i m a huge pixel fan and i really want to buy it but the battery
800,i m in group three who thinks that the price will drop around k
801,do not buy coming from an lgv thinq to pixel not pro i feel downgraded br br pixel is a faux iphone let s start there know what you re getting into about weeks owning and using frequently and for many things br br no headphone jack the one thing you had to mock or emulate really as an audio lover a whole generation of people who still know how to use headphone jacks and connect their things to boomin sound systems with s and such you even have an equalizer for what this thing has bad sound bad speakers compared to my lg that is thing was amazing br br overheats on basic use very hot very very hot not using camera at all seemed to be a quot reason quot hot af on just basic pokemon go use what just watch it glow red while only attempting to download a few files i feel i m going to break it no kidding it s that hot with no case even br br navigation buttons cannot re arrange what why hello i see on forums years of asking quot why quot so why br br pull down top menu can t pull down on it s side there is no wide sidescreen variation you have to rotate and pull down from top only br br the camera on the back bulbus edged sticks out a lot if you get a message phone quot flat quot on a table this thing will slide around as if it was the winter olympics br br slick case will slide out of off of into anything buy a case asap all cases i found btw if it s not a clunky otter style it s not flush with the surface mostly bad cases for a mostly bad device b adjusts glasses b br br short battery life that begs me to turn on quot saver quot features quot no quot i want full power good brightness loud sound etc the base functions of the device suffer on this electronic and i m just not sure why br br the camera nice but the app it s self google photos seems to stumble maybe it s just me on most base functions as well there is no quick way to edit sometimes other than right when you take the pic this is fine but the finalization step is a bit tedious when trying to get multiple pics in a timely manner i m not a fan of using rd part apps constatly paying free versions ads etc just to edit a pic my phone took cmon now better default software pls br br the power button and general hand use already kinda annoyed that taking a screencap now makes me pinch and push one side of my phone in order to hit the power and vol down at the same time like what makes way more sense even for smaller hands to have the buttons be on opposite sides of the phone if it was built to be so quick handed then why even include the on screen navigation buttons that you can t adjust at all ever as a formality a barely functional lie my point reaching one s thumb as a right handed person to the bottom left corner to go quot back quot a very common practice is just a massive no bad bad phone makers think about what you did you re almost forcing iphone mock controls or handed use oof br br there is no high screen resolution for the reg only pro no p for you just which is fine imo br br the updates i got all security not really any ease of use so i guess they are hard up to keep this thing like this a mess br br justify owning this thing however you wish but i see why they pushed me out the door after i was quot dumb enough quot to not inquire about the samsung i could have got instead i can t return it and there is no insurance on it gg i better just suck it up and treat her with respect unlike it s developers i can prolly think of more this is it for now should do a real review br br this was a fail
802,does anyone know the camera hardware info is that a sony sensor
803,i am in group for pixel a
804,were the connectivity issues solved
805,what do you think about the pricing
806,i was willing to buy the next pixel phone but it has no fast charging and no gb store which are a must for me guess i gotta wait for the nothing phone
807,pixel is available at same price
808,the only complaint is with battery capacity
809,fun fact wait till oct and u can get this phone for of its release price
810,it s a good phone but i m gonna buy it if it comes around k or under it s better to buy pixel rather than a at k
811,going to buy this one on sale
812,i am in quot let s wait for some time to price get reduced quot group
813,i m thinking the samsung a is the way to go
814,waiting for s or s fe edition
815,does a support spatial audio
816,a is priced similar as
817,definitely group will wait for a and then buy a
819,guys planning to buy this for someone so in this range for the average person who would want a decent battery good cameras are there better options br pls help
