,Comments,Comment ID
66,"@Beebom , What about the network issues and WiFi issues that were plaguing both 6 series and 7 series..??",497238_1
67,Would rather go with Pixel 7 for that Price,33933_1
68,chalo bhaisab bbd mei milte hei apun😉😎,255901_1
69,Group 1,585344_1
70,"Let&#39;s just wait for nothing phone too. Seems like that one would fall in same price category, but with higher refresh rate and better and faster processor.",426567_1
71,For the first time it is priced well,791686_1
72,2,481170_1
73,2,706405_1
74,Overpriced,799506_1
75,group 2,229330_1
76,Group 2,957775_1
77,Really!? Pixel 7 costs 45k on Amazon,408893_1
78,Group 3: waiting for the price to go down in sale,797137_1
79,Group - 3 Wait for Bigbillion for 30k,297206_1
80,Guys let&#39;s wait for offer time  it&#39;s Group 3 😂,713135_1
81,group 4 -STORAGE !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,534586_1
82,"Eventually it will drop in just few months, during the sale 😄",762548_1
83,3 days ago I bought a pixel 6 from Amazon because it&#39;s much better then A series the problem is you won&#39;t get any official warranty from Google if anything happens noone will help you I take the risk and bought pixel 6. But I am happy I bought this phone working fine and I love this phone ❤️,297578_1
84,No charger in the box so I&#39;m definitely in group 2.,31965_1
85,group 1,272631_1
86,@Abdul rehamani s20fe 5g goes upto Android 16?,775230_1
87,"If the price drops below 35K during sales, it would be perfect.",796413_1
88,"Definitely Group 1. I use Nothing Phone 1, apart from a slightly inferior chipset (Which would work as good as this one, trust me), everything else is better on Nothing Phone 1. For those who ask about the Camera, Use GCam on Nothing Phone 1 and enable RAW and it will give you top-notch images. Even the JPEG ones from GCam would be on Par with this Pixel one. Nothing Phone is much cheaper with slightly gimmicky glyph lights (They do look cool though), Great Sound, 120hz screen, Premium Glass build, better storage option, Haptics as good as this one, buttery smooth performance, Minimum bugs after Android 13, Wireless charging and Reverse wireless charging as well, and expected ecosystem built with interesting products on the cards.... And 13-14ki Cheaper than Pixel makes it much more appealing.",977494_1
89,Group 1,267196_1
90,Price will definitely get reduced during Diwali sale just like 6A&#39;s did. At 30-35k this would be a steal. If one can wait till then. Even now its a decent buy.,443559_1
91,@Guru Praveenu sure u would prefer s20fe <br>it aint gonna get any more updates and its like 3 yrs old.,142724_1
92,Phone is good but price is over priced,513047_1
93,Phone is good but price is over priced,659069_1
94,As of now in group 1...in BBD I&#39;ll be in group 2,767432_1
95,Price drop to 30k and it&#39;ll be in my hands,615050_1
96,​@jaga dish How do such hardware miracles happen. Please enlighten us !!!,301584_1
97,I am in Group 3.  i.e. wait for 3 months and in August buy pixel 7 on pixel 8 release (also a chance that during Diwali sale or something this also has a big chunky price cut )😅,202198_1
98,Overpriced,52778_1
99,"Actually the thing is people in India would rarely use the core AI features Pixels are known for..they would compare this pixel to another regular android phone with better specs in the similar price range and forget the pixel exists.. but, take the AI features into consideration, along with the buttery smooth animations and general fluid OS experience, then the price really seem to make sense.. cause those features make it unique, unlike any other smartphone.. and these phones are those rare cases in the android world where the developers do care to optimise the software for the hardware..",569833_1
100,I don&#39;t like spending money so group 1 but i need a phone so i will probably get this anyways 😅,22000_1
101,@Prajjwal Tiwari will s20fe 5g will not get 4yrs of os and 5yrs of security patch? As it was released in 2021 I think it Will not get rit?,63288_1
102,@Harry James Potter maybe but.....<br><br>It has a telephoto lens.<br>The screen is flagship.<br>It has a micro SDxc slot.,986204_1
103,"@Guru Praveen it comes with android 11 out of the box and it will go upto android 14 7a comes with android 13 goes upto 16 ,s21 fe 5g comes with android 12 4 updates goes upto 16 highest of all is s23 series and also new a series in samsung which goes upto android 17",934865_1
104,Samsung galaxy s21 fe is batter,984283_1
105,Group 3...waiting for some big billion day sales to get this phone at around 30k or below it...since I bought pixel 6a at 27k in last year big billion day sale...truly worth it...waiting for another big billion sale..and. I&#39;ll upgrade...😁😁😁 <br>So yeah...Group 3 it is..😁👊,579351_1
106,Overpriced i can easily get a pixel 7 in that price range wirh some card offers and exchange even less than 40k<br>And the scenario will change after the launch of nothing phone 2 <br><br>Pixel 7a is ok in the price range of 30 to 35k,58954_1
107,@Prajjwal Tiwari front camera of s20 fe is not good at all...,884345_1
108,​@Guru Praveen s20 fe probably won&#39;t get Android 14  so it has only one year of security patch left.<br>However i agree it&#39;s still a good deal.,629540_1
109,Ordered Pixel 7a,735408_1
110,What&#39;s best smartphones under 55k-60k?<br>OnePlus 11<br>Motorola edge 30 ultra<br>Vivo X90<br>iPhone 13<br>Pixel 7<br>Or anything else?,562886_1
111,Overpriced for sure,50030_1
112,OVERPRICED,318576_1
113,​@Guru Praveen but you&#39;ll miss Google great camera experience,904805_1
114,Now any change in pixel 6a price???,785108_1
115,Overpriced,580928_1
116,group 3 buying pixel 7 instead of 7a,91641_1
117,"P7 is available at 45K in Amazon, just get that",476142_1
118,Group 3 not to buy until they increase charging speed,124958_1
119,Group 3: Buy in BBDays after 3-4 months😁,632685_1
120,Better to buy samsung s20fe 5g still u get 3yrs update 😂😂 n 4yrs patch....,463272_1
121,@KrooksGamingInHD pixel 6a priced got reduced to 34k in bbd. <br>So after 4-5 months I&#39;m sure pixel 7a prices will also reduced to 35k minimum,808738_1
122,"​@Nearlight gaming it won&#39;t, new device",528756_1
123,grp 1,868115_1
124,Maybe Price will drop in bbd .,914315_1
125,"Well, Group 3 is - People who wait a few months after the launch and get a great deal in terms of pricing! 😅",612208_1
126,true,486607_1
127,Same here,118788_1
128,me 😂,562493_1
129,@Shiv pixel 7 under 50 k,319343_1
130,What&#39;s best smartphone under 55000-62k INR for best camera???<br><br>Vivo X90 vs Pixel 7 vs OnePlus 11<br>Which is best or anything else?,940798_1
131,I am also looking for upgrade after using Mi Note 8 pro for 3 years...<br>Got good job offer<br><br>What&#39;s best smartphones for working professional girl in engineering....<br>I have never used iPhone but I have iPad<br><br>Budget: 60k<br>Need good camera<br><br>What&#39;s best smartphones for engineering professional...,522466_1
132,I got my 6a in 27.5k after waiting for 6 months from the release of 6a. Got it in the sale. And it has been 110% value for money.,297425_1
133,@Prateek Panwar Thank you,889663_1
134,"@Shiv For stability, Grab Pixel 7.",947548_1
135,I was about to comment the same lol,24691_1
136,Exactly...waiting for Diwali,963425_1
137,@Shiv iphone,979030_1
138,exactlyyyy,912218_1
139,Exactly we are the same team bro 😅🥳,767324_1
140,So basically you&#39;re from group one 😅,348011_1
141,Was about to say that 😅,352358_1
142,Group 3 it iss,236110_1
143,Strongly  &quot;agreeed!&quot;,696797_1
144,Group 3 ✌️,646468_1
145,"@Shiv I would say iPhone 13. But if you are a heavy user, battery won’t last for long",707915_1
146,@Eva girl would suggest Pixel 7 but if you want good video recording as well then iPhone 13 when on discount,871313_1
147,"Exactly, beebom you are wrong bro. There are 3 groups 😂",829955_1
148,"Whats best smartphone for best camera under 50-60k?<br><br>Need for office IT professional  work  and personal camera for clicking birds, wildlife and recording videos sometimes",624239_1
149,I think I will wait for the price of the 6 or 6 pro to drop and maybe buy that,654507_1
150,Absolutely 😂,979485_1
151,​@Shiv pixel 7,846257_1
152,And you lose that much value as it will be outdated soon. You already lost 25% of its life!,724341_1
153,"@Shiv I would suggest you to go with the Pixel line up, as I have been a Google person from 2014, and will be one because of the software experience and the camera system. My first one was Nexus 5 ran for 4.5 years but since I dropped many a times the network ic was somehow damaged so couldn&#39;t use the phone. Then I bought Pixel 2 which is still rocking and it&#39;s more than 4 years now, this year it will be 5 but I&#39;ll soon buy the Pixel 7 in the BBD sale, so yeah for years to come these work superb for what you are looking for",737705_1
154,Exactly,708735_1
155,30k😂😂😂😂,508150_1
156,Underrated group.,806920_1
157,Me too....,397151_1
158,What&#39;s best smartphone under 55k-60k for camera  for 2-3 year stable use?,782610_1
159,@Shreya how much price drop?,432943_1
160,I&#39;m pretty much waiting for Big billion days or even can wait till year end sale.,928527_1
161,Now iam ready for 6a..😂,651881_1
162,Right,776640_1
163,Exactly 😌,212933_1
164,I would just wait for the prices to go down a bit of the pixel 7a and if that really happens that would be the ideal scenario to buy it.,727424_1
165,​@Shiv P7 ofc,414697_1
166,​@Vikram It&#39;s shit. Hardware software both shit in Xiaomi. Don&#39;t get fooled by the processor.,139769_1
167,Get a 7  online new it&#39;s cheaper,528496_1
168,What&#39;s best smartphone under 55000-62k INR for best camera???<br><br>Vivo X90 vs Pixel 7 vs OnePlus 11<br>Which is best or anything else?,40919_1
169,I am also looking for upgrade after using Mi Note 8 pro for 3 years...<br>Got good job offer<br><br>What&#39;s best smartphones for working professional girl in engineering....<br>I have never used iPhone but I have iPad<br><br>Budget: 60k<br>Need good camera<br><br>What&#39;s best smartphones for engineering professional...,123989_1
170,"@Aayush P.don’t waste your money but if you are rich and a enthusiast just buy a flagship phone then like the new Samsung or apple or the next pixel 8 pro,6a is pretty good cause the reason I buy pixel is just for 2 reasons camera and user interface that’s about it,spending 40k on a mobile to play mobile games is stupid at that point get a console or start saving for pc.",551218_1
171,@Eva girl Without doubt u can go with pixel 7a.The best in segment since  it&#39;s launch ( pixel series including a series),535862_1
172,"Whats best smartphone for best camera under 50-60k?<br><br>Need for office IT professional  work  and personal camera for clicking birds, wildlife and recording videos sometimes",472238_1
173,Group 2a Good package after price gets reduced within a month or two.,176268_1
174,@Bảo Quốc hahahah man what are you smoking? 😂 Exynos is two gens behind... Maybe your definition of better is inverted 🤡,456389_1
175,"@Vikram wow, you sounded bitter when the &quot;exynos&quot; chip can do more than snapdragon xiaomis🤣🤣🤣🤣and google doesn&#39;t need sales to even prove that it&#39;s good",124421_1
176,"@Vikram  Hi Copy 🐈 Fan Boy, Google is not looking on the no.of sales, Instead they want to offer the features that you won&#39;t get in any other Android Phone. And that what makes Pixel a Special.",474366_1
177,What&#39;s best smartphone under 55k-60k for camera  for 2-3 year stable use?,499200_1
178,"@James Manjada if Google is that much better, it should sell even the 10% of the Chinese copy cats 💀🤡🇮🇳😂",42792_1
179,"@Aayush P. you should stick with 6a for now tbh. overall it&#39;s a good phone, only dea-lbreaker for me was 60hz display. 7A is a good device but for 28k pixel 6a is great deal.",86475_1
180,"@Sahil Negi then anything under 40 would be great, but they must have included a charger with fast charging, atleast 33W",958892_1
181,@Vikram I don&#39;t think it&#39;ll get this much drop in price.... like pixel 6 is already around 35k. So I don&#39;t think there will be a drop of 10k anywhere soon :),584484_1
182,35k tak aajaye to badi baat hai bhai<br>bcoz pixel 6a me bhot cost cutting thi but isme almost sab diya hai unhone,558195_1
183,Same here,440606_1
184,I agree. I&#39;m using 4a right now and i would love to trade it when the price drops.,83094_1
185,"​@KrooksGamingInHD search globally. You will see a lot of issues in google phones as well .and talking about xiomi, every manufacturer had these issues. What about galaxy note 7? Xiomi never bombed anyone. So shut the hell up. Even google has its own share of issues. When using my pixel 6a, heating issues while multitasking is not tolerable. Pixel is no god 🍌",466305_1
186,"@Aayush P. 6a is still pretty good, beside the display which is 60hz<br>If u don&#39;t have a problem with that then that phone will run great for 2-3 years.",498025_1
187,​@Notus😂😂,15927_1
188,😂😂😂,885769_1
189,​@Aayush P. Use that for now.<br>Wait for the price cut on 7A in sales. <br>Don&#39;t waste money right now as your phone is just brand new tbh if it&#39;s only 1 month old.,211506_1
