Author,Comment
Drink woter,"Too over priced, 44k and the screen isn’t even that good , total bs charging for their software plus almost 0 after-sales support in most of india, would rather wait for nothing phone 2 it will be at this same prcie range same focus of software but with more power and better display and after sales support, this should be around 35k"
Earnist Se,It’s 500 but it comes with free pixel buds and a case from the google store so that’s not bad value really.
Sri Paul,Watching this video in pixel 6a
Sandeep Mehta,In 6 months time it will be 32K then I'll buy it.
Baraa,dos the 7a support esim ?
Edis Delgado,"I would get the 7, you can find it new for cheaper than 7a online"
shalini,Group1
Koushik Dey,"Group 3 - people know that they will not afford this , but are still watching . 😢"
Pritesh Khilnani,They can never fix the launch price. Never!  46k pix7 VS 44k for 7a...how dumb?
Aditya Bhardwaj,can someone name the wallpaper used in 5:33  from backdrops?
sarthak gangwar,Waiting for about 2-3 months will reduce the price drastically on sales and that is a good time to snatch this Pixel!!
Manas Ohara,have to hold groups till nothing phone(2) comes😀
John Choudhury,Group 3 will wait for the price to drop below 35k
vishal kant,Comparison between Google Pixel 7a Vs Oneplus 11R vs Moto Edge 30 Fusion!!!!!!!!!!!
Nexted Studios,Grp 2 mann
Yash Kudale,My OnePlus 7T display just got busted after buying and using since its launch. I guess it's definitely a upgrade time !
Priyabrat Mishra,"Group 2... Already booked thru pre order, outside India, you get pixel buds A series free with pre order. So effectively got it around same price as India with card discount.
N Group 3 is weird, wait for phone/tech to become old, snap a marginal further discount. Is it worth for mid-rangers?"
Rajesh Dash,Looks like a phone they should have launched in 2021
Nitish Jha,"34, 999 😊 😊is good price."
Ni hal,Group 3: Nothing.
Taruna Dixit,6pro or 7a who is better I'm confused
Akshay,Group 3: can't afford it
ADITYA SINGH,"good package, you'll get a good deal of it in big billion days sale."
Nathanasiel Hernandez,"If the pricing does go down like it usually does after a few months, this will go from being a ""good package"" to being a no-brainer. The 7a's improvements are just astronomical compared to the 6a. *This* is an upgrade"
The Last Stand,Then I am in group 4 who doesn't want pixel phones and go for galaxy S series straightway.
Bhavya Bansal,"Pixel's processor and battery seems weak but the OS on OnePlus 11r is trash and camera also seems ok ok. And no flagship features on 11r except for the processor of course. Will be waiting for Nothing phone 2 , I am hoping it would bring best of both worlds."
Nature Calls Rob,Bad pricing....  Pixel 7 avilable @46000 on sales
ankuran dewgharia,Group 2
TBG Vloggs,Group 4 - Using Iphone❤
Z0R0_X,Not even worth 30k 😑
BLOODY HACKER,They could've launched it on Android 14
Jithin Nhendadiyil,18W charging in a phone released in 2023 is really a crime. I hate iPhone and Pixels for their poor charging speed. Whatever high end features they have charging speed is a basic requirement.
Mridul Singh,Group 2 when I'll be under 35k
Nameless Track,"I'm in middle of those group.
If Non pixel user that's the fact there are some options,OnePlus 11R is the greatest 1 in this price segment, on the other hand people who love pixel and trying buy a Pixel phone in affordable price that's the phone they can pick😊
Good deals from #Google🤝"
Tanbir Mohd,I'm in Group 3 i.e Can't afford.
chandan kumar,Obviously group one. Let us compare it with the recently launched poco F5. It has better processor better  screen better battery better multi-media experience charger in the box headphone jack. Pixel has better software experience (subjective) better cameras and that's it. The price gap is around 15k. That's way too much for an avg user i guess. Google needs to focus on the mid range market and their needs
‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎l,Bhai Hindi me video nikal
Kaustav Mondal,Group 1 for sure
ROHIT KALEKAR,"Could you do Samsung A54 vs pixel 7a camera comparison, please..."
abdullah abdulaziz,"Bhai Agar A54 me processor Acha hota tou wo isko kha jata 
Lekin Samsung ko Har cheez kharab karna hai"
Vigneesh M,Pixel 7 costs similar😅  isn't it better to buy that instead?
day's done,"am a pixel user. one thing the pixel phones lack is service... only provided in major cities and not even available for semi metropolitan cities. 
If you live in cities like Bangaluru or mumbai well n good."
outtanowhere o,"Group 
   

















AAP"
Shashidhar Prasad K R,Group 2 though
Naquib Ataee,Group 1
Kishore Babu k,The bezels sucks
Bunny Munnu,Fun Fact : Wait till Oct and u can get this phone for 70% of its release price
SUNNY ☀️DAY,💩💩💩💩 phone not worth more than 30k
Anmol D,Still sounds non interesting to me.
HIMANSHU THAKUR,"Google pixels are more about Good photos,videos and software. And it does fill that hardware gap with that. Some Samsung phones might provide a better value at that price point, but nothing can match the pixel.❤"
Biswanath Kar,Group 2 but waiting for the Price Drop.
Brown Boi,"That's what my dad makes in a month. I'm in the group ""mehengai""

I'm waiting for the time when the chips are being made in India so that we can actually buy the phones at the price which is more affordable"
Gokulan Jacksparrow,I Think...Wireless charging only in 7.5w..
T Niranjan,"Not fixed price, battery"
AS awareness and entertainment,Goggle made use fool I bought pixel 7 with extra price and less features 😢
Katina Southerland,Solid group 2 here when you place this against 6a the updates are amazing for one Year
Taurean Smoke,Easy call group 2. Only haters are in group 1! It don't matter what Google does. They're always going to be in group 1!
Elvis Chibundu,"0:11 Same old IMX 363 beats iPhone 13 Pro Max & Samsung Galaxy S22 Ultra in camera blind test


Bruhhh all you need is software Optimization"
Rahul Gupta,I'm in group 256GB. 128gb is a joke for today's phone
GiyuTomioka,Jenshin Impact 😂😂
Mayur Satpute,G1
Arunangshu Sen,Getting it around 25k with special discount
Dhawal Shah,"I have been using Pixel 6a for the past 6 months, and I would not recommend someone to buy the tensor chip A series of Google. Heat management is a big issue. The phone heats up quickly. Suppose you use Google Maps to go somewhere. After 20 mins, the phone will automatically switch to dark mode to cool down the device. You cannot see the navigation in the day in dark mode. Another incident was I was on an important Zoom call. The device closed the app automatically to cool down the device. There was no way I could shut that feature. I had to wait for the device to cool down. The call was barely 1-1.30 hr. Yes, the photos are amazingly superb, but I have to charge the phone twice a day to keep it live. Pixel A series phones were good till Pixela. It was its peak. Now its downfall, I feel."
Gautam Sidana,No use when battery is shit as last
Kapil Nagpurkar,Elephant in the room: shitty tensor (Exynos) chipset with amazing heating issues and very dim and bad quality display.
Ajinkya Chavan,Groud 3 - Will buy once after price drop
BankaiKiller,Just wait for the Big Billion Sale and buy the Pixel 7 at a better price....40k for this phone isn't worth it
Mohd Mazid,20 watt wired and 7.5 watt wirless charging in 2023 and you call it a solid upgrade.?? Its a joke
Счастливая птица,group 3 who won't even buy the phone just here for google
Suraj Sahoo,Group 2
Uday,It would be great if you make a video about a comparison between Google Pixel 7a and Samsung Galaxy a54
Prakash2K,Overpriced.
Sanjay,Don't rush on this. Just wait until bbd sale.
shamsi s,Group 4
Prince,3:24 what? 🤨
