Author,Comment
Spit Dragon 💚,"DO Not Buy. Coming from an LGV40ThinQ  to  Pixel 7 (Not Pro) - I feel Downgraded. 

Pixel 7 : *IS A FAUX iPHONE - Let's start there. Know what you're getting into. About 2 weeks owning and using frequently and for many things.

NO HEADPHONE JACK?! THE ONE THING YOU HAD TO MOCK OR EMULATE, REALLY?! As an Audio Lover, A whole generation of people who still know how to use headphone jacks and connect their things to boomin sound systems with 15s and such? - You even have an Equalizer? FOR WHAT? This thing has BAD SOUND! BAD SPEAKERS! (Compared to my LG, That is, Thing was amazing)

Overheats on basic use, VERY HOT VERY VERY HOT? Not using Camera AT ALL? (Seemed to be a ""reason"") HOT AF ON just basic Pokemon Go use? What? Just watch it Glow Red while only attempting to download a few files. I feel I'm going to break it. No kidding. It's that hot. With no case even. 

Navigation buttons / Cannot re-arrange.  What?  Why? Hello?   I see on Forums Years of asking ""WHY?"", so Why?

Pull down top menu? Can't pull down on it's side, There is no Wide, Sidescreen variation, you HAVE to rotate and pull down from top. ONLY

The Camera on the back? Bulbus! edged, sticks out a lot. If you get a message? Phone ""Flat"" on a table? - This thing will slide around as if it was the Winter Olympics.

SLICK CASE - Will slide out of, off of, into, anything. Buy a case ASAP - All Cases I Found btw? If it's not a clunky OTTER style, it's not Flush with the surface. Mostly bad cases for a mostly bad device. *adjusts glasses*

Short battery life that begs me to turn on ""Saver"" features. ""No"" - I want full power, good brightness, loud sound. etc. The base functions of the device Suffer on this electronic and I'm just not sure why.

The Camera? Nice, But - The App it's self (google photos) seems to stumble (maybe it's just me) on most base functions as well, there is no quick way to edit, sometimes, other than RIGHT when you take the pic, this is fine, but the finalization step is a bit tedious when trying to get multiple pics in a timely manner. I'm not a fan of using 3rd part apps constatly (Paying, free versions, ads, etc just to edit a pic my phone took? cmon now, Better default software pls)

The power button and general hand use, Already kinda annoyed that Taking a screencap now makes me pinch and push one side of my phone in order to hit the power and vol down at the same time? Like? What?   Makes WAY more sense, even for smaller hands, to have the buttons be on Opposite sides of the phone? *If it was built to be so quick 1 handed, then why even include the on screen navigation buttons that you can't adjust /at all /ever? As a formality? a barely functional lie? - My point, Reaching one's thumb, as a right handed person, to the bottom left corner, to go ""BACK"" - A VERY COMMON PRACTICE?!, Is just a massive NO, BAD, BAD PHONE MAKERS, THINK ABOUT WHAT YOU DID! you're almost forcing iPhone mock controls or 2 handed use? oof.

There is no High Screen Resolution for the reg 7, Only Pro* - No 1440p for you, just 1080 (which is fine imo)

The Updates I got? All security, not really any ease of use - So I guess they are hard up to keep this thing like THIS, A Mess. 

Justify owning this thing however you wish, but I see why they pushed me out the door after I was ""Dumb enough"" to not inquire about the Samsung I could have got instead. I can't return it and there is no insurance on it. GG. I better just suck it up and treat her with respect, unlike it's developers. (I can prolly think of more, this is it for now / Should do a real review)

This was a Fail."
Rock Voirob,this video makes me sad ;( i just bought pixel 6a 5 days back
polla2256,"I'm from the UK. In group 2 and just ordered a 7a, fed up of the constant random reboots of my Motorola G200. With the G2 chip and embedded AI this should be at least 1000% better than my current pgone."
Gaurav Kulkarni,Any bees were bombed this time???😂😂😂
NmsHouT,we all are gonna wait and buy it on BBD sale !! That will be the best price for the pixel 7a
chupi,Why dont tech reviewers dont talk about iphone specs when they review iphones as much as they do on other devices. Like what sony sensor the iphone is using or whatever...
Rekha Kolhe,Is thier any heating issue with this phone
Prithviraj Tarafdar,"After 6 months I will be in group 2 
Till then Beebom rocks"
Amod Rayamajhi,Please make a comparison video of the Pixel 7a and POCO F5. Both launched at similar timelines. And also I'm finding it hard to decide.
Md Aftab Ansari,It is still overpriced
