,Comments,Comment ID
94,as of now in group in bbd i ll be in group,767432_1
95,price drop to k and it ll be in my hands,615050_1
96,jaga dish how do such hardware miracles happen please enlighten us,301584_1
97,i am in group i e wait for months and in august buy pixel on pixel release also a chance that during diwali sale or something this also has a big chunky price cut,202198_1
98,overpriced,52778_1
99,actually the thing is people in india would rarely use the core ai features pixels are known for they would compare this pixel to another regular android phone with better specs in the similar price range and forget the pixel exists but take the ai features into consideration along with the buttery smooth animations and general fluid os experience then the price really seem to make sense cause those features make it unique unlike any other smartphone and these phones are those rare cases in the android world where the developers do care to optimise the software for the hardware,569833_1
100,i don t like spending money so group but i need a phone so i will probably get this anyways,22000_1
101,prajjwal tiwari will s fe g will not get yrs of os and yrs of security patch as it was released in i think it will not get rit,63288_1
102,harry james potter maybe but br br it has a telephoto lens br the screen is flagship br it has a micro sdxc slot,986204_1
103,guru praveen it comes with android out of the box and it will go upto android a comes with android goes upto s fe g comes with android updates goes upto highest of all is s series and also new a series in samsung which goes upto android,934865_1
104,samsung galaxy s fe is batter,984283_1
105,group waiting for some big billion day sales to get this phone at around k or below it since i bought pixel a at k in last year big billion day sale truly worth it waiting for another big billion sale and i ll upgrade br so yeah group it is,579351_1
106,overpriced i can easily get a pixel in that price range wirh some card offers and exchange even less than k br and the scenario will change after the launch of nothing phone br br pixel a is ok in the price range of to k,58954_1
107,prajjwal tiwari front camera of s fe is not good at all,884345_1
108,guru praveen s fe probably won t get android so it has only one year of security patch left br however i agree it s still a good deal,629540_1
109,ordered pixel a,735408_1
110,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else,562886_1
111,overpriced for sure,50030_1
112,overpriced,318576_1
113,guru praveen but you ll miss google great camera experience,904805_1
114,now any change in pixel a price,785108_1
115,overpriced,580928_1
116,group buying pixel instead of a,91641_1
117,p is available at k in amazon just get that,476142_1
118,group not to buy until they increase charging speed,124958_1
119,group buy in bbdays after months,632685_1
120,better to buy samsung s fe g still u get yrs update n yrs patch,463272_1
121,krooksgaminginhd pixel a priced got reduced to k in bbd br so after months i m sure pixel a prices will also reduced to k minimum,808738_1
122,nearlight gaming it won t new device,528756_1
123,grp,868115_1
124,maybe price will drop in bbd,914315_1
125,well group is people who wait a few months after the launch and get a great deal in terms of pricing,612208_1
126,true,486607_1
127,same here,118788_1
128,me,562493_1
129,shiv pixel under k,319343_1
130,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else,940798_1
131,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional,522466_1
132,i got my a in k after waiting for months from the release of a got it in the sale and it has been value for money,297425_1
133,prateek panwar thank you,889663_1
134,shiv for stability grab pixel,947548_1
135,i was about to comment the same lol,24691_1
136,exactly waiting for diwali,963425_1
137,shiv iphone,979030_1
138,exactlyyyy,912218_1
139,exactly we are the same team bro,767324_1
140,so basically you re from group one,348011_1
141,was about to say that,352358_1
142,group it iss,236110_1
143,strongly quot agreeed quot,696797_1
144,group,646468_1
145,shiv i would say iphone but if you are a heavy user battery wont last for long,707915_1
146,eva girl would suggest pixel but if you want good video recording as well then iphone when on discount,871313_1
147,exactly beebom you are wrong bro there are groups,829955_1
148,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes,624239_1
149,i think i will wait for the price of the or pro to drop and maybe buy that,654507_1
150,absolutely,979485_1
151,shiv pixel,846257_1
152,and you lose that much value as it will be outdated soon you already lost of its life,724341_1
153,shiv i would suggest you to go with the pixel line up as i have been a google person from and will be one because of the software experience and the camera system my first one was nexus ran for years but since i dropped many a times the network ic was somehow damaged so couldn t use the phone then i bought pixel which is still rocking and it s more than years now this year it will be but i ll soon buy the pixel in the bbd sale so yeah for years to come these work superb for what you are looking for,737705_1
154,exactly,708735_1
155,k,508150_1
156,underrated group,806920_1
157,me too,397151_1
158,what s best smartphone under k k for camera for year stable use,782610_1
159,shreya how much price drop,432943_1
160,i m pretty much waiting for big billion days or even can wait till year end sale,928527_1
161,now iam ready for a,651881_1
162,right,776640_1
163,exactly,212933_1
164,i would just wait for the prices to go down a bit of the pixel a and if that really happens that would be the ideal scenario to buy it,727424_1
165,shiv p ofc,414697_1
166,vikram it s shit hardware software both shit in xiaomi don t get fooled by the processor,139769_1
167,get a online new it s cheaper,528496_1
168,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else,40919_1
169,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional,123989_1
170,aayush p dont waste your money but if you are rich and a enthusiast just buy a flagship phone then like the new samsung or apple or the next pixel pro a is pretty good cause the reason i buy pixel is just for reasons camera and user interface thats about it spending k on a mobile to play mobile games is stupid at that point get a console or start saving for pc,551218_1
171,eva girl without doubt u can go with pixel a the best in segment since it s launch pixel series including a series,535862_1
172,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes,472238_1
173,group a good package after price gets reduced within a month or two,176268_1
174,bo quc hahahah man what are you smoking exynos is two gens behind maybe your definition of better is inverted,456389_1
175,vikram wow you sounded bitter when the quot exynos quot chip can do more than snapdragon xiaomisand google doesn t need sales to even prove that it s good,124421_1
176,vikram hi copy fan boy google is not looking on the no of sales instead they want to offer the features that you won t get in any other android phone and that what makes pixel a special,474366_1
177,what s best smartphone under k k for camera for year stable use,499200_1
178,james manjada if google is that much better it should sell even the of the chinese copy cats,42792_1
179,aayush p you should stick with a for now tbh overall it s a good phone only dea lbreaker for me was hz display a is a good device but for k pixel a is great deal,86475_1
180,sahil negi then anything under would be great but they must have included a charger with fast charging atleast w,958892_1
181,vikram i don t think it ll get this much drop in price like pixel is already around k so i don t think there will be a drop of k anywhere soon,584484_1
182,k tak aajaye to badi baat hai bhai br bcoz pixel a me bhot cost cutting thi but isme almost sab diya hai unhone,558195_1
183,same here,440606_1
184,i agree i m using a right now and i would love to trade it when the price drops,83094_1
185,krooksgaminginhd search globally you will see a lot of issues in google phones as well and talking about xiomi every manufacturer had these issues what about galaxy note xiomi never bombed anyone so shut the hell up even google has its own share of issues when using my pixel a heating issues while multitasking is not tolerable pixel is no god,466305_1
186,aayush p a is still pretty good beside the display which is hz br if u don t have a problem with that then that phone will run great for years,498025_1
187,notus,15927_1
189,aayush p use that for now br wait for the price cut on a in sales br don t waste money right now as your phone is just brand new tbh if it s only month old,211506_1
190,vikram you compare google s pixels with chinese copy cat lol,670961_1
191,aayush p you can go for an exchange and see how much you re getting,343195_1
192,i d buy it but i ve already bought the a a month ago what should i do,167813_1
193,nikhil kumar atleast it s there,539048_1
194,wireless charging but watts,613390_1
195,exactly i am still in the group as mentioned by him amp will tend to be more on that group only if this scenario comes into picture which i guess eventually will as i am also planning it to buy this on the beginning of the last quarter of the year as that time indian festivities are on peak amp so are offers in that time slot,769282_1
196,krooksgaminginhd still better than shitxynos,205516_1
