,Comments,Comment ID
69,"Too over priced, 44k and the screen isn’t even that good , total bs charging for their software plus almost 0 after-sales support in most of india, would rather wait for nothing phone 2 it will be at this same prcie range same focus of software but with more power and better display and after sales support, this should be around 35k",476076_1
70,It’s 500 but it comes with free pixel buds and a case from the google store so that’s not bad value really.,995030_1
71,Watching this video in pixel 6a,332728_1
72,In 6 months time it will be 32K then I'll buy it.,70955_1
73,dos the 7a support esim ?,763062_1
74,"I would get the 7, you can find it new for cheaper than 7a online",31214_1
75,Group1,862144_1
76,"Group 3 - people know that they will not afford this , but are still watching . 😢",709975_1
77,They can never fix the launch price. Never!  46k pix7 VS 44k for 7a...how dumb?,355545_1
78,can someone name the wallpaper used in 5:33  from backdrops?,284090_1
79,Waiting for about 2-3 months will reduce the price drastically on sales and that is a good time to snatch this Pixel!!,939925_1
80,have to hold groups till nothing phone(2) comes😀,94716_1
81,Group 3 will wait for the price to drop below 35k,98735_1
82,Comparison between Google Pixel 7a Vs Oneplus 11R vs Moto Edge 30 Fusion!!!!!!!!!!!,167416_1
83,Grp 2 mann,670599_1
84,My OnePlus 7T display just got busted after buying and using since its launch. I guess it's definitely a upgrade time !,844675_1
85,"Group 2... Already booked thru pre order, outside India, you get pixel buds A series free with pre order. So effectively got it around same price as India with card discount.
N Group 3 is weird, wait for phone/tech to become old, snap a marginal further discount. Is it worth for mid-rangers?",471336_1
86,Looks like a phone they should have launched in 2021,73914_1
87,"34, 999 😊 😊is good price.",648300_1
88,Group 3: Nothing.,50460_1
89,6pro or 7a who is better I'm confused,793094_1
90,Group 3: can't afford it,56124_1
91,"good package, you'll get a good deal of it in big billion days sale.",751678_1
92,"If the pricing does go down like it usually does after a few months, this will go from being a ""good package"" to being a no-brainer. The 7a's improvements are just astronomical compared to the 6a. *This* is an upgrade",82672_1
93,Then I am in group 4 who doesn't want pixel phones and go for galaxy S series straightway.,273184_1
94,"Pixel's processor and battery seems weak but the OS on OnePlus 11r is trash and camera also seems ok ok. And no flagship features on 11r except for the processor of course. Will be waiting for Nothing phone 2 , I am hoping it would bring best of both worlds.",551770_1
95,Bad pricing....  Pixel 7 avilable @46000 on sales,131323_1
96,Group 2,697465_1
97,Group 4 - Using Iphone❤,97812_1
98,Not even worth 30k 😑,53638_1
99,They could've launched it on Android 14,442662_1
100,18W charging in a phone released in 2023 is really a crime. I hate iPhone and Pixels for their poor charging speed. Whatever high end features they have charging speed is a basic requirement.,212474_1
101,Group 2 when I'll be under 35k,977518_1
102,"I'm in middle of those group.
If Non pixel user that's the fact there are some options,OnePlus 11R is the greatest 1 in this price segment, on the other hand people who love pixel and trying buy a Pixel phone in affordable price that's the phone they can pick😊
Good deals from #Google🤝",956137_1
103,I'm in Group 3 i.e Can't afford.,602978_1
104,Obviously group one. Let us compare it with the recently launched poco F5. It has better processor better  screen better battery better multi-media experience charger in the box headphone jack. Pixel has better software experience (subjective) better cameras and that's it. The price gap is around 15k. That's way too much for an avg user i guess. Google needs to focus on the mid range market and their needs,347543_1
105,Bhai Hindi me video nikal,134101_1
106,Group 1 for sure,447168_1
107,"Could you do Samsung A54 vs pixel 7a camera comparison, please...",496755_1
108,"Bhai Agar A54 me processor Acha hota tou wo isko kha jata 
Lekin Samsung ko Har cheez kharab karna hai",476634_1
109,Pixel 7 costs similar😅  isn't it better to buy that instead?,61068_1
110,"am a pixel user. one thing the pixel phones lack is service... only provided in major cities and not even available for semi metropolitan cities. 
If you live in cities like Bangaluru or mumbai well n good.",711093_1
111,"Group 
   

















AAP",37288_1
112,Group 2 though,855799_1
113,Group 1,167885_1
114,The bezels sucks,926987_1
115,Fun Fact : Wait till Oct and u can get this phone for 70% of its release price,553668_1
116,💩💩💩💩 phone not worth more than 30k,704827_1
117,Still sounds non interesting to me.,908832_1
118,"Google pixels are more about Good photos,videos and software. And it does fill that hardware gap with that. Some Samsung phones might provide a better value at that price point, but nothing can match the pixel.❤",403238_1
119,Group 2 but waiting for the Price Drop.,809055_1
120,"That's what my dad makes in a month. I'm in the group ""mehengai""

I'm waiting for the time when the chips are being made in India so that we can actually buy the phones at the price which is more affordable",768910_1
121,I Think...Wireless charging only in 7.5w..,848802_1
122,"Not fixed price, battery",538866_1
123,Goggle made use fool I bought pixel 7 with extra price and less features 😢,420821_1
124,Solid group 2 here when you place this against 6a the updates are amazing for one Year,643586_1
125,Easy call group 2. Only haters are in group 1! It don't matter what Google does. They're always going to be in group 1!,435145_1
126,"0:11 Same old IMX 363 beats iPhone 13 Pro Max & Samsung Galaxy S22 Ultra in camera blind test


Bruhhh all you need is software Optimization",599209_1
127,I'm in group 256GB. 128gb is a joke for today's phone,853983_1
128,Jenshin Impact 😂😂,951411_1
129,G1,666050_1
130,Getting it around 25k with special discount,414997_1
131,"I have been using Pixel 6a for the past 6 months, and I would not recommend someone to buy the tensor chip A series of Google. Heat management is a big issue. The phone heats up quickly. Suppose you use Google Maps to go somewhere. After 20 mins, the phone will automatically switch to dark mode to cool down the device. You cannot see the navigation in the day in dark mode. Another incident was I was on an important Zoom call. The device closed the app automatically to cool down the device. There was no way I could shut that feature. I had to wait for the device to cool down. The call was barely 1-1.30 hr. Yes, the photos are amazingly superb, but I have to charge the phone twice a day to keep it live. Pixel A series phones were good till Pixela. It was its peak. Now its downfall, I feel.",25371_1
132,No use when battery is shit as last,37314_1
133,Elephant in the room: shitty tensor (Exynos) chipset with amazing heating issues and very dim and bad quality display.,879825_1
134,Groud 3 - Will buy once after price drop,269155_1
135,Just wait for the Big Billion Sale and buy the Pixel 7 at a better price....40k for this phone isn't worth it,708345_1
136,20 watt wired and 7.5 watt wirless charging in 2023 and you call it a solid upgrade.?? Its a joke,328362_1
137,group 3 who won't even buy the phone just here for google,857306_1
138,Group 2,56390_1
139,It would be great if you make a video about a comparison between Google Pixel 7a and Samsung Galaxy a54,275558_1
140,Overpriced.,913947_1
141,Don't rush on this. Just wait until bbd sale.,372899_1
142,Group 4,277048_1
143,3:24 what? 🤨,429836_1
144,"i will probably go with group 1. Investing in a phone more than 20k is stupidity. The reason is simple, use a phone like a phone and not a computer and a DLSR. Not so complicated right?",578064_1
145,Group 1 :  be patient. You know what I mean 😂,820411_1
146,Over priced - go for  Pixel 7 at rs 44k,849876_1
147,Good with pixel4a ❤,511176_1
148,"Compare camera with pixel 7, onepls 11r, onepls 11, samsung s21 fe.
Then I will tell in which group I am.",618214_1
149,bro can  u make a 7and 7a comparision,657677_1
150,I am in sale group,974941_1
151,"The user experience on a pixel is world class, you can buy any pixel phone just for the fact that you will get pure android.",901689_1
152,Bhai ne bola group 2 toh group 2 baki kuch nhi,736152_1
153,isn't pixel 7 available at 45000 on amazon? Why would someone get this at basically the same price?,39615_1
154,overpriced.... 30k would have given us a better choice.,658827_1
155,Group 2,627983_1
156,I just have a issue with the price like on amazon the pixel 7 proper is 45k! So for 1k extra doesnt the 7 make more sense? Waiting for some major price drops like the 6a,239141_1
157,we need a camera comparison between pixel 7A and galaxy s21 fe..,878810_1
158,So the people who buys 6A like wasted time and money 😂,947554_1
159,"I was willing to buy the next pixel phone but it has no fast charging and no 256gb store which are a must for me, guess I gotta wait for the nothing phone 2",847968_1
160,Was there any hitting issue you faced in your test???,854799_1
161,"Go for S21 FE, Still it is the best phone to buy in value for money category",583790_1
162,Will 7a record call automatically like Samsung phones.?,685630_1
163,Group 3 people are the ones who wait for Big Billion Days and Great Indian Festival where we can see massive price drops 🤓,382873_1
164,Group 2. Because it is still a good package in the price of 40k but as the Google pixel 6a I think its price will also go down so wpi will wait for it,427490_1
165,"1. No 256GB option
2. eSim is still not ready for Indian market
3. Should have 120 Hz AMOLED",861888_1
